cluster	x	y	z	intensity	temperature	label
Hydra	2.8564	-30.354	-33.6217	50.9611	379.7895	Hydra-00047
Orion	-58.915	25.5253	-17.4307	68.3691	401.0647	Orion-00048
Lyra	19.6765	-35.9091	35.2397	56.7228	387.5547	Lyra-00049
Cygnus	46.5798	40.6322	-16.7599	73.0294	414.3773	Cygnus-00050
Hydra	-13.8897	-46.0807	-32.3471	66.388	404.0832	Hydra-00051
Orion	-24.5836	5.0576	7.9759	33.8391	343.4803	Orion-00052
Lyra	16.0204	-44.2568	59.9044	76.2535	416.5558	Lyra-00053
Cygnus	57.695	20.6259	-39.495	74.1058	401.2521	Cygnus-00054
Hydra	-12.7941	-42.3083	-43.5872	67.5203	399.9661	Hydra-00055
Orion	-43.1591	13.5063	8.1477	50.348	367.1176	Orion-00056
Lyra	36.2551	-39.2562	51.2773	76.5499	421.2409	Lyra-00057
Cygnus	71.0958	29.3226	-29.658	89.097	436.8259	Cygnus-00058
Hydra	-29.5746	-49.1171	-30.0266	72.6685	410.9474	Hydra-00059
Orion	-28.9919	10.8249	19.337	37.8243	341.2475	Orion-00060
Lyra	29.1284	-24.2943	61.0029	79.5797	416.8986	Lyra-00061
Cygnus	61.0828	24.2349	-24.9825	77.3244	421.9786	Cygnus-00062
Hydra	-11.5197	-50.6209	-37.1136	72.1858	407.544	Hydra-00063
Orion	-24.8338	2.345	18.3775	31.2061	324.6733	Orion-00064
Lyra	20.2014	-38.55	58.9838	81.0793	421.3936	Lyra-00065
Cygnus	56.3925	22.2384	-23.8799	73.0025	408.6133	Cygnus-00066
Hydra	-12.3729	-51.5406	-29.0582	63.1942	387.6606	Hydra-00067
Orion	-39.2528	10.496	19.6711	48.0974	367.1577	Orion-00068
Lyra	46.1247	-53.9864	40.6824	85.4328	442.2295	Lyra-00069
Cygnus	63.463	28.0039	-21.6002	81.3858	425.3877	Cygnus-00070
Hydra	-7.4131	-28.4139	-34.3852	49.1288	371.2926	Hydra-00071
Orion	-43.2291	10.7504	3.3735	48.14	362.2077	Orion-00072
Lyra	13.1424	-34.2823	43.8501	65.5213	397.6009	Lyra-00073
Cygnus	33.5259	25.1611	-25.8252	52.5122	365.5913	Cygnus-00074
Hydra	0.1817	-39.1584	-38.9626	62.8725	397.7314	Hydra-00075
Orion	-44.334	8.2931	7.2537	49.3042	374.4736	Orion-00076
Lyra	19.745	-27.5966	28.5775	50.4592	377.6556	Lyra-00077
Cygnus	63.7836	22.9616	-28.2865	73.4592	419.403	Cygnus-00078
Hydra	-20.5684	-37.3005	-45.727	66.6776	395.8051	Hydra-00079
Orion	-49.4924	20.2796	-9.3461	61.4607	392.7939	Orion-00080
Lyra	23.5603	-27.2914	28.5673	49.0166	367.4065	Lyra-00081
Cygnus	62.4541	12.5051	-28.9382	71.7515	405.3664	Cygnus-00082
Hydra	-7.172	-44.6601	-58.4794	74.5865	416.0733	Hydra-00083
Orion	-52.2923	22.9086	15.9083	63.7145	403.391	Orion-00084
Lyra	21.5256	-19.8809	57.8113	71.7435	409.4869	Lyra-00085
Cygnus	61.6953	34.5078	-14.6268	76.8492	431.826	Cygnus-00086
Hydra	-9.6798	-43.8272	-27.5623	59.8834	382.3898	Hydra-00087
Orion	-60.5031	-7.9809	-10.1322	69.8854	397.5031	Orion-00088
Lyra	4.5294	-42.2756	21.6998	52.6658	374.4591	Lyra-00089
Cygnus	72.2641	17.3846	-34.7347	84.2668	432.4166	Cygnus-00090
Hydra	-27.3949	-54.8181	-44.2961	78.0865	419.4318	Hydra-00091
Orion	-35.0976	20.923	11.0105	47.1797	370.1411	Orion-00092
Lyra	25.9326	-26.328	39.0445	54.3381	368.9913	Lyra-00093
Cygnus	40.9101	35.3446	-30.9141	66.0594	400.969	Cygnus-00094
Hydra	-4.2277	-53.5041	-41.2465	74.5796	403.1016	Hydra-00095
Orion	-43.0806	18.8079	0.1771	54.6885	386.497	Orion-00096
Lyra	35.5887	-34.5159	43.7503	71.5503	401.2498	Lyra-00097
Cygnus	54.1012	33.7046	-26.6521	72.114	410.3766	Cygnus-00098
Hydra	-22.1731	-52.9965	-29.2666	65.622	403.9175	Hydra-00099
Orion	-43.7724	16.6301	2.6975	47.1466	369.6424	Orion-00100
Lyra	17.1042	-34.9028	40.8603	59.8063	388.1107	Lyra-00101
Cygnus	55.6702	37.6954	-24.2461	78.2383	414.9854	Cygnus-00102
Hydra	-12.8946	-53.2211	-31.9608	68.2602	403.4528	Hydra-00103
Orion	-28.4306	17.9937	-1.0268	39.5277	342.6817	Orion-00104
Lyra	21.5526	-47.6173	44.4698	69.9971	407.1513	Lyra-00105
Cygnus	62.9394	37.0744	-30.3486	85.3958	432.0666	Cygnus-00106
Hydra	-17.323	-51.0817	-45.9037	71.8586	403.1299	Hydra-00107
Orion	-29.3891	-3.6862	13.7861	35.4782	344.7204	Orion-00108
Lyra	7.0281	-53.7609	30.1783	62.7352	398.6718	Lyra-00109
Cygnus	46.0352	14.7668	-8.6614	56.768	388.3503	Cygnus-00110
Hydra	-23.9973	-49.5048	-11.8774	59.4069	385.8701	Hydra-00111
Orion	-49.3647	20.8461	5.2437	61.4879	390.4729	Orion-00112
Lyra	22.9738	-34.2319	55.4207	76.5313	415.6771	Lyra-00113
Cygnus	50.0127	20.3054	-27.4199	62.9736	377.8653	Cygnus-00114
Hydra	-12.8618	-56.7355	-44.7059	79.9479	424.5704	Hydra-00115
Orion	-44.8345	37.5315	14.2653	68.1198	400.3826	Orion-00116
Lyra	21.5861	-18.8454	35.1103	45.5777	358.2972	Lyra-00117
Cygnus	58.4892	23.0313	-19.6342	68.9184	414.4793	Cygnus-00118
Hydra	-8.351	-53.2196	-34.1737	72.3284	411.0366	Hydra-00119
Orion	-28.9538	24.2268	-1.9288	44.0173	359.9561	Orion-00120
Lyra	13.5494	-38.7749	45.0808	62.9809	390.8097	Lyra-00121
Cygnus	49.4646	21.6153	-34.9318	69.076	401.0059	Cygnus-00122
Hydra	-36.5849	-38.4836	-42.294	70.3222	414.7486	Hydra-00123
Orion	-42.0608	23.5171	14.109	55.0346	381.8953	Orion-00124
Lyra	21.7158	-38.4626	47.0704	71.0703	414.6772	Lyra-00125
Cygnus	63.2546	27.7854	-25.7012	75.4609	418.5323	Cygnus-00126
Hydra	-17.1558	-41.258	-23.7964	53.093	376.2258	Hydra-00127
Orion	-28.7921	16.2784	10.4533	42.5039	353.5581	Orion-00128
Lyra	-2.4335	-29.9244	33.8746	49.2288	365.5805	Lyra-00129
Cygnus	54.6377	31.9946	-13.3631	72.1099	407.3229	Cygnus-00130
Hydra	-22.3308	-43.5062	-36.7005	62.4851	391.026	Hydra-00131
Orion	-53.4855	14.1711	18.3866	65.1859	397.2196	Orion-00132
Lyra	9.1974	-38.45	45.3693	64.2324	402.8295	Lyra-00133
Cygnus	35.3261	34.3203	-17.9385	58.0069	384.0917	Cygnus-00134
Hydra	-31.3573	-54.7984	-28.0736	70.9953	406.4673	Hydra-00135
Orion	-45.6055	13.4278	13.8313	49.5364	371.2694	Orion-00136
Lyra	4.9234	-26.8661	41.9627	56.4315	385.7852	Lyra-00137
Cygnus	48.6443	17.5485	-35.3021	69.704	392.8891	Cygnus-00138
Hydra	-33.2041	-58.1722	-21.7533	75.3264	413.0316	Hydra-00139
Orion	-53.1465	6.1024	13.3191	56.6222	379.8729	Orion-00140
Lyra	15.3948	-19.1582	37.7967	46.2038	361.0809	Lyra-00141
Cygnus	46.8553	16.8793	-14.8824	56.4232	379.0702	Cygnus-00142
Hydra	-15.115	-44.7228	-42.0804	65.4938	400.0812	Hydra-00143
Orion	-14.9904	31.9667	19.3693	48.828	361.1568	Orion-00144
Lyra	41.3145	-31.0437	43.5851	74.4101	415.6447	Lyra-00145
Cygnus	32.1354	32.1297	-18.039	54.1598	375.5767	Cygnus-00146
Hydra	-24.5496	-51.9271	-28.2505	67.0091	403.6261	Hydra-00147
Orion	-51.0435	4.8138	5.8719	54.1991	385.6517	Orion-00148
Lyra	39.1842	-36.2174	34.3892	66.3107	397.3131	Lyra-00149
Cygnus	39.3864	50.9601	-34.9723	82.1821	432.0135	Cygnus-00150
Hydra	-26.6253	-56.5277	-40.0364	77.4665	421.445	Hydra-00151
Orion	-41.2286	2.7656	12.5011	48.1139	362.5649	Orion-00152
Lyra	35.1048	-36.5127	41.9311	74.5135	411.2312	Lyra-00153
Cygnus	48.1277	25.8217	-19.903	63.1009	399.9493	Cygnus-00154
Hydra	6.7368	-32.8742	-26.1251	43.585	354.9806	Hydra-00155
Orion	-35.8899	9.3855	9.7207	40.8101	346.46	Orion-00156
Lyra	37.4374	-53.3235	44.5017	82.3532	435.8257	Lyra-00157
Cygnus	66.2182	23.3472	-9.115	73.289	403.6783	Cygnus-00158
Hydra	-14.4975	-56.9113	-21.0895	69.7856	402.7461	Hydra-00159
Orion	-44.5225	27.6409	-28.151	63.8942	383.5026	Orion-00160
Lyra	27.2892	-24.2019	38.7235	58.0881	390.8432	Lyra-00161
Cygnus	44.9388	30.8585	-20.1812	63.2755	402.4935	Cygnus-00162
Hydra	-16.1216	-31.5019	-19.4035	46.7051	366.7543	Hydra-00163
Orion	-37.7025	9.5363	2.3691	47.7893	356.492	Orion-00164
Lyra	17.5461	-30.9189	29.373	53.9426	376.9812	Lyra-00165
Cygnus	63.3079	20.6694	-37.9097	83.1326	428.5624	Cygnus-00166
Hydra	-36.002	-36.8577	-25.897	66.3882	405.0711	Hydra-00167
Orion	-48.8967	26.8702	3.4891	63.5734	384.9545	Orion-00168
Lyra	26.9039	-36.7576	38.6313	66.5616	408.5412	Lyra-00169
Cygnus	54.9819	27.3615	-13.2193	71.1088	411.5278	Cygnus-00170
Hydra	1.1567	-46.2479	-38.1931	65.6947	399.3515	Hydra-00171
Orion	-32.5142	10.1769	3.8391	34.6992	330.2805	Orion-00172
Lyra	24.2401	-39.6885	39.3085	65.6732	400.594	Lyra-00173
Cygnus	29.2639	20.651	-22.5124	50.1418	372.3877	Cygnus-00174
Hydra	-22.6075	-49.4488	-30.4887	66.4869	397.9399	Hydra-00175
Orion	-42.1827	23.8462	26.9515	63.5582	395.0446	Orion-00176
Lyra	18.2846	-35.442	36.1103	59.0879	388.3363	Lyra-00177
Cygnus	45.1941	21.5531	-25.012	57.763	395.5654	Cygnus-00178
Hydra	-28.8241	-38.3361	-32.8544	63.3102	401.749	Hydra-00179
Orion	-30.6353	17.5822	29.1833	48.2887	365.7052	Orion-00180
Lyra	0.6349	-38.1634	43.8648	63.6038	392.585	Lyra-00181
Cygnus	34.5958	29.3028	-27.988	58.7445	396.2091	Cygnus-00182
Hydra	-26.121	-37.3268	-43.0446	69.1656	398.2799	Hydra-00183
Orion	-52.8688	4.4533	-1.739	58.9016	376.6648	Orion-00184
Lyra	16.4894	-21.7044	29.6598	41.0937	349.2984	Lyra-00185
Cygnus	47.1632	45.0307	-22.3736	73.7946	415.6825	Cygnus-00186
Hydra	-1.5355	-48.3851	-14.9086	52.9659	369.4921	Hydra-00187
Orion	-34.4179	6.0379	19.3288	42.9816	348.0452	Orion-00188
Lyra	37.3497	-19.4438	56.2226	77.984	432.4673	Lyra-00189
Cygnus	48.7065	7.9836	-10.3391	53.7197	374.4815	Cygnus-00190
Hydra	-17.5538	-47.3659	-43.8411	72.9412	409.7889	Hydra-00191
Orion	-49.1833	7.1727	22.5005	55.5344	367.1664	Orion-00192
Lyra	21.2874	-28.7459	54.5026	73.4294	407.051	Lyra-00193
Cygnus	53.8795	32.8685	-13.3871	67.2376	389.2696	Cygnus-00194
Hydra	-24.7274	-42.5031	-23.7684	59.0495	384.5957	Hydra-00195
Orion	-27.4504	26.1469	17.3553	47.7284	370.8779	Orion-00196
Lyra	20.009	-49.3824	32.0764	63.583	399.2567	Lyra-00197
Cygnus	48.8588	30.9625	-34.3766	75.8512	416.9431	Cygnus-00198
Hydra	-7.1116	-44.1837	-57.1348	80.2743	429.6182	Hydra-00199
Orion	-26.4705	26.9496	-17.0584	44.6763	355.8501	Orion-00200
Lyra	13.9224	-26.7842	60.5393	71.7403	417.22	Lyra-00201
Cygnus	42.0854	14.6971	-27.1672	59.285	385.9984	Cygnus-00202
Hydra	-17.8219	-42.4749	-36.5635	65.6965	397.3608	Hydra-00203
Orion	-40.2339	23.1212	17.0536	50.7667	367.4691	Orion-00204
Lyra	21.6442	-31.3718	47.2303	61.8607	388.7432	Lyra-00205
Cygnus	52.9706	34.7272	-26.2196	68.6854	402.4709	Cygnus-00206
Hydra	-15.6946	-53.1861	-37.0301	67.1522	404.195	Hydra-00207
Orion	-42.8645	4.7219	11.6333	51.6675	366.1802	Orion-00208
Lyra	13.9984	-31.467	13.3136	37.3142	346.8166	Lyra-00209
Cygnus	56.5386	15.638	-33.1165	76.0399	415.9793	Cygnus-00210
Hydra	-7.9134	-42.7566	-44.2819	66.474	404.9465	Hydra-00211
Orion	-38.527	16.2295	22.9789	48.2961	370.9261	Orion-00212
Lyra	18.4376	-18.0658	35.4828	52.8305	373.5027	Lyra-00213
Cygnus	39.4206	26.8883	-28.947	62.1272	390.1424	Cygnus-00214
Hydra	-6.124	-58.6055	-31.7518	68.8702	394.4494	Hydra-00215
Orion	-52.0466	20.5249	4.5823	59.8787	393.3742	Orion-00216
Lyra	28.4138	-26.9646	40.3564	57.6149	378.7037	Lyra-00217
Cygnus	56.1416	27.6791	-23.1979	67.6235	399.4106	Cygnus-00218
Hydra	-19.3549	-61.3723	-45.4373	83.8306	428.1297	Hydra-00219
Orion	-44.8322	22.1432	2.9772	56.8436	389.381	Orion-00220
Lyra	34.5845	-42.8544	58.5429	83.538	428.7654	Lyra-00221
Cygnus	44.6984	25.4612	-29.6662	60.3567	385.0796	Cygnus-00222
Hydra	-10.1064	-55.2453	-32.6842	72.2453	402.2267	Hydra-00223
Orion	-29.0359	2.771	16.2534	39.1749	342.9939	Orion-00224
Lyra	42.6039	-28.1229	47.1307	71.1024	403.8285	Lyra-00225
Cygnus	50.3463	22.0683	-25.5432	68.4441	403.7604	Cygnus-00226
Hydra	-28.6983	-49.7883	-25.0448	62.9633	399.9446	Hydra-00227
Orion	-42.2139	10.9971	3.2418	47.0736	367.3768	Orion-00228
Lyra	16.8185	-49.5445	39.454	66.0031	397.7638	Lyra-00229
Cygnus	64.1428	42.5539	-29.6638	88.4503	434.964	Cygnus-00230
Hydra	-27.1449	-45.3391	-35.8001	64.8533	406.6918	Hydra-00231
Orion	-49.0282	20.6495	7.8427	59.7785	381.3603	Orion-00232
Lyra	31.1437	-28.6193	43.0749	63.082	393.112	Lyra-00233
Cygnus	54.5148	33.8765	-25.3112	69.0634	409.6618	Cygnus-00234
Hydra	-18.1467	-52.255	-46.4671	76.7456	424.5392	Hydra-00235
Orion	-29.6784	0.9318	33.1798	44.9068	366.0549	Orion-00236
Lyra	53.726	-27.9027	54.7938	86.8148	430.2794	Lyra-00237
Cygnus	50.7747	22.156	-23.8614	63.2415	394.6503	Cygnus-00238
Hydra	-13.8138	-56.023	-24.8242	63.6075	382.7665	Hydra-00239
Orion	-37.5972	12.7808	2.5181	43.3518	354.16	Orion-00240
Lyra	17.1072	-23.1738	40.9556	54.6647	381.5523	Lyra-00241
Cygnus	64.331	36.8937	-16.5686	82.5342	425.4615	Cygnus-00242
Hydra	-7.5113	-64.1419	-33.4259	74.4933	417.4519	Hydra-00243
Orion	-61.7676	6.1421	7.5535	69.4858	401.9688	Orion-00244
Lyra	6.765	-30.5789	44.501	62.734	386.384	Lyra-00245
Cygnus	40.5734	24.7357	-36.7471	65.715	389.8337	Cygnus-00246
Hydra	-15.6892	-43.4231	-41.2856	64.4093	397.7469	Hydra-00247
Orion	-29.0926	21.8037	7.9108	37.719	354.0059	Orion-00248
Lyra	23.4685	-34.5032	58.1646	77.1197	409.9294	Lyra-00249
Cygnus	37.8557	28.4616	-44.7664	73.233	408.2618	Cygnus-00250
Hydra	-43.3195	-39.3811	-40.4845	75.4596	411.5161	Hydra-00251
Orion	-40.2276	19.9739	24.615	54.3073	385.534	Orion-00252
Lyra	18.4914	-39.8002	46.9243	68.1884	406.7409	Lyra-00253
Cygnus	41.0975	32.8101	-20.1916	58.8773	390.8482	Cygnus-00254
Hydra	-26.8274	-41.4414	-48.505	75.0344	408.9528	Hydra-00255
Orion	-36.8684	19.8045	8.1049	49.142	364.0382	Orion-00256
Lyra	4.6051	-50.7135	51.4577	77.6391	415.8886	Lyra-00257
Cygnus	61.5532	37.424	-5.6953	75.7895	414.5483	Cygnus-00258
Hydra	-34.576	-55.017	-36.6311	81.7186	432.5233	Hydra-00259
Orion	-36.5179	7.5396	18.4643	47.778	357.3546	Orion-00260
Lyra	6.0181	-33.006	36.291	52.6865	377.4681	Lyra-00261
Cygnus	56.4055	34.8145	-14.0067	69.7871	403.3805	Cygnus-00262
Hydra	-14.7273	-42.932	-31.1722	61.9993	389.3015	Hydra-00263
Orion	-27.6212	-1.4172	22.4294	42.506	357.7883	Orion-00264
Lyra	30.6631	-22.6584	56.58	75.1669	424.9433	Lyra-00265
Cygnus	54.8539	25.1873	-32.0359	74.4221	416.3155	Cygnus-00266
Hydra	-17.1924	-37.7709	-36.998	59.6378	397.0785	Hydra-00267
Orion	-50.8641	16.4611	15.7176	63.2401	387.5338	Orion-00268
Lyra	2.0903	-14.4462	55.147	59.582	386.5958	Lyra-00269
Cygnus	41.648	37.3293	-5.2709	63.388	391.7727	Cygnus-00270
Hydra	-11.3447	-39.6943	-49.227	69.2375	395.1581	Hydra-00271
Orion	-19.3989	31.5915	18.1905	48.1625	362.7372	Orion-00272
Lyra	18.3662	-16.3868	48.772	63.1488	398.811	Lyra-00273
Cygnus	54.8226	37.2137	-26.1287	71.7049	410.1997	Cygnus-00274
Hydra	-25.7288	-46.078	-25.1101	58.6974	385.4553	Hydra-00275
Orion	-21.9546	10.5553	1.5234	25.6462	317.5708	Orion-00276
Lyra	15.5635	-12.5679	42.0099	52.8795	372.0896	Lyra-00277
Cygnus	51.6766	29.3543	-17.0009	69.3303	406.9975	Cygnus-00278
Hydra	-40.4669	-51.691	-40.0859	79.5112	422.6144	Hydra-00279
Orion	-42.8399	20.0182	0.4818	51.4027	377.6725	Orion-00280
Lyra	36.8496	-20.3948	42.7614	64.6582	395.761	Lyra-00281
Cygnus	53.2971	33.6886	-36.4427	74.9907	418.5479	Cygnus-00282
Hydra	-32.788	-39.1599	-10.5684	52.765	383.3115	Hydra-00283
Orion	-56.7685	16.048	25.8831	67.9356	401.7255	Orion-00284
Lyra	2.0129	-28.1158	52.9926	60.1692	387.7591	Lyra-00285
Cygnus	56.2222	18.558	-26.9156	71.9803	401.1722	Cygnus-00286
Hydra	-18.7103	-52.0878	-25.0587	68.0765	404.6111	Hydra-00287
Orion	-34.4968	29.7969	-0.4648	51.2719	374.3289	Orion-00288
Lyra	22.4341	-33.8199	45.6629	63.7325	388.1707	Lyra-00289
Cygnus	60.4209	30.6766	-2.3834	72.4427	414.0316	Cygnus-00290
Hydra	-2.2928	-46.8601	-34.3815	59.8853	397.8297	Hydra-00291
Orion	-56.7549	32.8339	19.0725	69.406	400.9064	Orion-00292
Lyra	0.2744	-12.8973	42.8649	48.2438	354.1212	Lyra-00293
Cygnus	62.8179	27.6913	-41.8112	85.0543	433.3098	Cygnus-00294
Hydra	-13.1539	-57.6453	-24.0988	71.2506	412.129	Hydra-00295
Orion	-50.902	15.9079	23.8233	61.1676	394.3561	Orion-00296
Lyra	11.2632	-36.8578	40.5388	56.3164	376.1802	Lyra-00297
Cygnus	61.0319	22.1608	-16.2257	75.7475	416.2897	Cygnus-00298
Hydra	-12.9134	-47.3817	-41.3061	71.3813	404.1507	Hydra-00299
Orion	-57.5032	-8.1054	22.861	69.4413	411.408	Orion-00300
Lyra	24.0958	-30.4497	45.2597	63.0798	387.9041	Lyra-00301
Cygnus	41.1639	24.7429	-33.7118	62.0265	378.4477	Cygnus-00302
Hydra	-16.8694	-56.977	-43.0871	79.2454	421.529	Hydra-00303
Orion	-41.9862	22.5384	10.9364	52.3748	367.2485	Orion-00304
Lyra	11.9255	-33.9629	43.2307	65.2219	403.9095	Lyra-00305
Cygnus	46.282	52.6407	-31.0473	84.3371	431.9764	Cygnus-00306
Hydra	-47.8749	-38.5722	-39.135	79.0165	423.0993	Hydra-00307
Orion	-37.7871	13.0755	10.4418	46.2058	364.97	Orion-00308
Lyra	35.4212	-40.3827	39.4895	72.409	396.9906	Lyra-00309
Cygnus	56.4071	19.3229	-20.5553	64.3186	398.5498	Cygnus-00310
Hydra	-17.3304	-48.0662	-43.1054	74.0818	411.4306	Hydra-00311
Orion	-58.406	13.5848	20.0728	72.2319	412.6787	Orion-00312
Lyra	17.7716	-44.0354	46.6483	67.2296	389.9221	Lyra-00313
Cygnus	73.6501	26.1039	-43.2755	92.4232	449.1624	Cygnus-00314
Hydra	-7.3438	-54.2136	-36.9942	74.7389	411.6031	Hydra-00315
Orion	-61.0786	24.8778	16.0116	69.2437	405.6928	Orion-00316
Lyra	25.7532	-24.6017	41.8626	63.4313	388.8261	Lyra-00317
Cygnus	70.6601	18.0306	-25.0543	82.0657	436.2375	Cygnus-00318
Hydra	-10.4526	-39.9491	-46.6576	63.8244	393.4034	Hydra-00319
Orion	-34.6531	15.7413	1.7415	43.5469	350.3351	Orion-00320
Lyra	31.3399	-43.5876	45.3905	70.7111	405.9983	Lyra-00321
Cygnus	45.9736	22.0775	-32.3511	64.1445	387.1327	Cygnus-00322
Hydra	-25.1791	-52.8535	-38.7807	78.8339	418.3447	Hydra-00323
Orion	-60.9396	19.6299	8.9375	65.3008	392.9146	Orion-00324
Lyra	32.5698	-27.3412	37.2345	61.982	391.968	Lyra-00325
Cygnus	45.3266	43.7986	-27.1555	77.4095	407.481	Cygnus-00326
Hydra	-9.0883	-38.3344	-43.6118	62.9699	391.3587	Hydra-00327
Orion	-43.2091	26.7758	20.6484	58.3238	387.8218	Orion-00328
Lyra	16.1932	-34.4065	46.8932	63.3207	391.3268	Lyra-00329
Cygnus	45.7182	25.9068	-24.1984	62.4848	385.4497	Cygnus-00330
Hydra	-27.0537	-45.9436	-12.1176	59.2258	388.7049	Hydra-00331
Orion	-34.1291	16.6624	10.0475	43.7399	360.2743	Orion-00332
Lyra	34.5484	-40.8825	30.6459	69.3023	406.1117	Lyra-00333
Cygnus	27.4669	38.4669	-27.8334	58.1463	374.5708	Cygnus-00334
Hydra	-33.4135	-37.1098	-28.4941	58.1554	391.8402	Hydra-00335
Orion	-56.448	17.6909	7.8701	65.8001	416.1628	Orion-00336
Lyra	39.9901	-16.9458	32.4055	57.2411	389.6379	Lyra-00337
Cygnus	69.3921	23.7074	-21.5558	80.9334	432.4743	Cygnus-00338
Hydra	-11.9764	-44.59	-39.6836	64.9939	402.883	Hydra-00339
Orion	-53.8927	10.4986	4.8988	56.5864	389.1515	Orion-00340
Lyra	43.2624	-32.0513	40.7358	74.97	420.1216	Lyra-00341
Cygnus	30.5089	25.2927	-32.2049	54.3806	388.385	Cygnus-00342
Hydra	-28.9454	-62.8713	-45.4248	89.3171	435.3939	Hydra-00343
Orion	-42.8397	16.3624	-9.3796	53.8537	379.4289	Orion-00344
Lyra	23.2645	-41.9213	41.8293	65.161	389.4763	Lyra-00345
Cygnus	41.9241	19.6793	-21.9153	57.3631	380.4021	Cygnus-00346
Hydra	12.0106	-41.1741	-32.349	56.5449	382.5281	Hydra-00347
Orion	-29.9091	31.5683	-5.292	52.0924	379.2983	Orion-00348
Lyra	37.6353	-44.6783	50.4142	79.0292	423.5002	Lyra-00349
Cygnus	47.311	37.9254	-31.3394	69.8142	404.8357	Cygnus-00350
Hydra	-10.5797	-49.657	-42.6842	72.8185	419.2536	Hydra-00351
Orion	-52.0677	7.8414	7.3816	55.3884	377.1984	Orion-00352
Lyra	13.2925	-33.356	52.3372	66.0714	398.0743	Lyra-00353
Cygnus	58.2133	44.1621	-29.1477	87.0714	441.8	Cygnus-00354
Hydra	-14.9406	-54.3451	-21.1752	63.6252	400.7741	Hydra-00355
Orion	-15.2054	15.314	34.0715	42.9451	354.2507	Orion-00356
